id,name,origin,temperament,description,image_url,lifespan,weight,coat_type,grooming_level,tags
breed-001,Abyssinian,Ethiopia,"Active, Energetic, Independent, Intelligent, Gentle","The Abyssinian is easy to care for, and a joy to have in your home. They're affectionate cats and love both people and other animals.",https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg,14 - 15 years,7 - 10 lbs,Short,Low,"{active,energetic,intelligent,gentle}"
breed-002,Aegean,Greece,"Affectionate, Social, Intelligent, Playful, Active","Native to the Cycladic Islands of Greece, the Aegean is considered a natural breed. They are an active, social cat that loves people.",https://cdn2.thecatapi.com/images/ozEvzdVM-.jpg,9 - 12 years,7 - 10 lbs,Semi-Long,Medium,"{affectionate,social,playful,active}"
breed-003,American Bobtail,United States,"Intelligent, Interactive, Lively, Playful, Sensitive",The American Bobtail is an uncommon breed of domestic cat which was developed in the late 1960s. It is best known for its distinctive stubby tail.,https://cdn2.thecatapi.com/images/hBXicehMA.jpg,11 - 15 years,7 - 16 lbs,Medium/Long,Medium,"{intelligent,lively,playful,sensitive}"
breed-004,American Curl,United States,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social","The American Curl is a breed of cat characterized by its unusual ears, which curl back from the face toward the center of the back of the skull.",https://cdn2.thecatapi.com/images/xnsqonbjW.jpg,12 - 16 years,5 - 10 lbs,Short/Long,Low,"{affectionate,curious,intelligent,social}"
breed-005,American Shorthair,United States,"Active, Curious, Easy Going, Playful, Calm",The American Shorthair is a versatile and adaptable breed known for being gentle and easy-going. They make wonderful family pets.,https://cdn2.thecatapi.com/images/JFPROfGtQ.jpg,15 - 17 years,8 - 15 lbs,Short,Low,"{active,curious,easygoing,calm}"
breed-006,American Wirehair,United States,"Affectionate, Curious, Gentle, Intelligent, Reserved","The American Wirehair is a spontaneous mutation of the American Shorthair. Their dense, springy, wiry coat is their most distinctive feature.",https://consumer-cms.petfinder.com/sites/default/files/images/content/American%20Wirehair%20Cat%203.jpg,14 - 18 years,8 - 15 lbs,Wiry,Low,"{affectionate,gentle,intelligent,reserved}"
breed-007,Balinese,United States,"Affectionate, Intelligent, Playful, Social",The Balinese is a long-haired breed of domestic cat with Siamese-style point coloration and sapphire-blue eyes. They are very social and loving.,https://cdn2.thecatapi.com/images/13MkvUreZ.jpg,10 - 15 years,8 - 15 lbs,Long,Medium,"{affectionate,intelligent,playful,social}"
breed-008,Bambino,United States,"Affectionate, Lively, Friendly, Playful",The Bambino is a breed that was created as a cross between the Sphynx and the Munchkin. They are characterized by short legs and a hairless coat.,https://www.thesprucepets.com/thmb/F9y0MYWzwg_8y0mcd0XlcOxwUNU=/2121x0/filters:no_upscale():strip_icc()/peterpancakeGettyImages-638917674-ee473ffc1c3d4b65a568f9b4c1a4506b.jpg,12 - 14 years,4 - 9 lbs,Hairless,High,"{affectionate,lively,friendly,playful}"
breed-009,Bengal,United States,"Alert, Agile, Energetic, Demanding, Intelligent",The Bengal is a domesticated cat breed created from hybrids of domestic cats and the Asian leopard cat. Their wild appearance is complemented by their energetic personality.,"https://cdn.mos.cms.futurecdn.net/v2/t:0,l:420,cw:1080,ch:1080,q:80,w:1080/Uwu9iN5UXkusxNwr2Dixuh.jpg",12 - 15 years,8 - 17 lbs,Short,Low,"{alert,agile,energetic,intelligent}"
breed-010,Birman,France,"Affectionate, Active, Gentle, Social","The Birman is a domestic cat breed also called the Sacred Cat of Burma. It is distinguished by a silky coat, deep-blue eyes, and white gloves on each paw.",https://www.thesprucepets.com/thmb/D5s03LINbIYpZuiG6uvBpKrAKXk=/3500x0/filters:no_upscale():strip_icc()/GettyImages-623368786-f66c97ad6d2d494287b448415f4340a8.jpg,14 - 15 years,10 - 12 lbs,Long,Medium,"{affectionate,gentle,social,active}"
breed-011,Bombay,United States,"Affectionate, Dependable, Gentle, Intelligent, Playful","The Bombay is a type of short-haired cat developed by breeding sable Burmese and black American Shorthair cats, to produce a cat of mostly Burmese type, but with a jet-black coat.",https://www.thesprucepets.com/thmb/RnGTM5ENlWu-D4oND397jksaUCw=/1911x0/filters:no_upscale():strip_icc()/bombay-cat-full-profile-history-and-care-5202250-hero-85810f454cf84a7786e650136a10f91c.jpg,12 - 16 years,8 - 15 lbs,Short,Low,"{affectionate,gentle,intelligent,playful}"
breed-012,British Longhair,United Kingdom,"Affectionate, Gentle, Quiet, Calm","The British Longhair is a medium to large, semi-longhaired breed of cat. They are calm, gentle, and very affectionate with family.","https://img1.wsimg.com/isteam/ip/4e256fb4-245f-429e-a2fa-0fc7a894d617/IMG_0023.jpeg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:1280",12 - 14 years,8 - 16 lbs,Long,High,"{affectionate,gentle,quiet,calm}"
breed-013,British Shorthair,United Kingdom,"Affectionate, Easy Going, Gentle, Loyal, Patient, Calm","The British Shorthair is the pedigreed version of the traditional British domestic cat, with a distinctively chunky body and dense coat. They are calm, easygoing, and very loyal.",https://cfa.org/wp-content/uploads/2024/04/2023-k07i-BabyrayBlueCheeses.webp,12 - 17 years,7 - 17 lbs,Short,Low,"{affectionate,gentle,loyal,calm}"
breed-014,Burmese,Myanmar,"Curious, Intelligent, Gentle, Social","The Burmese is a breed of domestic cat, originating in Burma (Myanmar), believed to have its roots near the Thai-Burma border. They are curious, social, and love people.",https://cdn2.thecatapi.com/images/4lXnnfxac.jpg,16 - 18 years,8 - 12 lbs,Short,Low,"{curious,intelligent,gentle,social}"
breed-015,Burmilla,United Kingdom,"Curious, Intelligent, Friendly, Gentle, Quiet","The Burmilla is a breed of domestic cat which originated in the United Kingdom in 1981. They are known for their shimmery, silver coat and gentle personality.",https://cdn2.thecatapi.com/images/HOrX5gwLS.jpg,10 - 15 years,8 - 12 lbs,Short,Low,"{curious,intelligent,friendly,gentle}"
breed-016,California Spangled,United States,"Affectionate, Curious, Active, Intelligent, Playful, Social","The California Spangled is a breed of domestic cat that was bred to resemble spotted wild cats, like the leopard and ocelot. They are active and social.",https://cats.com/wp-content/uploads/2020/10/The-California-Spangled-Cats.jpg,9 - 16 years,8 - 15 lbs,Short,Low,"{curious,active,intelligent,social}"
breed-017,Chantilly-Tiffany,United States,"Affectionate, Demanding, Friendly, Gentle, Quiet, Soft-voiced","The Chantilly-Tiffany is a semi-longhaired cat breed with a chocolate-brown coat. They are gentle, affectionate, and devoted to their owners.",https://cats.com/wp-content/uploads/2020/10/the-Chantilly-Tiffany.jpg,14 - 16 years,6 - 12 lbs,Semi-Long,Medium,"{affectionate,friendly,gentle,quiet}"
breed-018,Chartreux,France,"Affectionate, Loyal, Intelligent, Social, Lively, Playful","The Chartreux is a rare breed of cat from France. They are known for their blue-gray coats, orange-copper eyes, and quiet, observant nature.",https://cdn2.thecatapi.com/images/j6oFGLpRG.jpg,11 - 15 years,6 - 12 lbs,Short,Low,"{affectionate,loyal,intelligent,playful}"
breed-019,Chausie,France,"Affectionate, Intelligent, Playful, Social",The Chausie is a domestic breed of cat that was developed by breeding a few individuals from non-domestic species to a far greater number of domestic cats. They are active and love to jump.,https://cdn.shopify.com/s/files/1/0568/0450/7691/files/Chausie-3_600x600.jpg?v=1715597909,10 - 15 years,15 - 20 lbs,Short,Low,"{affectionate,intelligent,playful,social}"
breed-020,Colorpoint Shorthair,United States,"Affectionate, Intelligent, Playful, Social",The Colorpoint Shorthair is a type of Siamese cat that displays non-traditional Siamese point coloration. They are very communicative and people-oriented.,https://upload.wikimedia.org/wikipedia/commons/1/11/Chocolate_Tortie_Pt_11636-140.jpg,12 - 16 years,5 - 10 lbs,Short,Low,"{affectionate,intelligent,playful,social}"
breed-021,Cornish Rex,United Kingdom,"Active, Affectionate, Energetic, Intelligent, Lively","The Cornish Rex is a breed of domestic cat. Their most notable feature is the extremely soft, wavy coat. They are energetic, playful, and love attention.",https://vgl.ucdavis.edu/sites/g/files/dgvnsk15116/files/inline-images/Cornish-Rex-Coat-Adjusted-600px.jpg,11 - 15 years,6 - 10 lbs,Wavy,Low,"{active,affectionate,energetic,intelligent}"
breed-022,Cymric,Canada,"Affectionate, Gentle, Lively, Loyal, Intelligent, Social","The Cymric is a semi-longhaired version of the Manx cat, sharing its characteristic rounded appearance and lack of tail. They are gentle and devoted companions.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Cymric%20Cat%203.jpg,8 - 14 years,7 - 13 lbs,Long,High,"{affectionate,gentle,loyal,social}"
breed-023,Cyprus,Cyprus,"Affectionate, Social, Interactive, Playful","The Cyprus cat is a landrace of domestic cat believed to be one of the oldest cat breeds in the world. They are natural, robust, and highly adaptable.",https://www.catster.com/wp-content/uploads/2023/11/Aphrodite-giant-cat-colored-backgrounds_Oleksandr-Volchanskyi-Shutterstock.jpg,12 - 15 years,8 - 16 lbs,Short/Long,Low,"{affectionate,social,interactive,playful}"
breed-024,Devon Rex,United Kingdom,"Active, Affectionate, Loyal, Mischievous, Playful, Social","The Devon Rex is a breed of intelligent, short-haired cat that emerged in England during the late 1950s. They are known for their large ears and curly, soft coat.",https://cdn2.thecatapi.com/images/CDhOtM-Ig.jpg,10 - 15 years,5 - 10 lbs,Wavy/Short,Low,"{active,affectionate,loyal,mischievous}"
breed-025,Donskoy,Russia,"Affectionate, Curious, Intelligent, Loyal",The Donskoy is a hairless cat breed of Russian origin. They are known for their warmth and loyalty to their human companions.,https://wopet.com/uploads/admin/image/20250619/1b3f80c9c3d044ab6c15fb8beaa5ee3c.png,12 - 15 years,6 - 15 lbs,Hairless,High,"{affectionate,curious,intelligent,loyal}"
breed-026,Dragon Li,China,"Intelligent, Loving, Agile, Curious, Friendly","The Dragon Li, also called the Li Hua or Chinese Li Hua, is a natural breed originating in China. They are known for their distinctive golden-brown tabby pattern.",https://cdn-images.vetstreet.com/cb/ed/5781fa4445dfae2288fd3bb0a3fe/li-hua-looking-at-camera-10935-146-645sm82115.jpg,12 - 15 years,9 - 12 lbs,Short,Low,"{intelligent,loving,agile,curious}"
breed-027,Dwelf,United States,"Friendly, Lively, Devoted, Playful","The Dwelf is a new experimental breed that combines characteristics of the Munchkin, American Curl, and Sphynx. They are hairless with short legs and curled ears.",https://cdn2.thecatapi.com/images/j6oFGLpRG.jpg,12 - 15 years,4 - 9 lbs,Hairless,High,"{friendly,lively,devoted,playful}"
breed-028,Egyptian Mau,Egypt,"Active, Curious, Friendly, Gentle, Loyal, Playful",The Egyptian Mau is a small to medium-sized short-haired cat breed. They are the fastest of the domestic cats and are known for their naturally occurring spotted coat.,https://d3544la1u8djza.cloudfront.net/APHI/Blog/2021/12-27/Egyptian+mau+cat+relaxing+on+a+gray+green+couch-min.jpg,9 - 13 years,7 - 9 lbs,Short,Low,"{active,curious,gentle,loyal}"
breed-029,European Burmese,Myanmar,"Curious, Lively, Affectionate, Gentle",The European Burmese is closely related to the American Burmese but has a more moderate body type. They are extremely people-oriented and love being involved in family activities.,https://www.thesprucepets.com/thmb/7K3EGk7u3obrOmi7avQBKoEZf40=/2883x0/filters:no_upscale():strip_icc()/burmese-cat-breed-profile-4584510-hero-b7e3ecbe46ce4dc18a15351f8224b331.jpg,16 - 18 years,8 - 12 lbs,Short,Low,"{curious,lively,affectionate,gentle}"
breed-030,Exotic Shorthair,United States,"Affectionate, Curious, Loyal, Quiet, Gentle",The Exotic Shorthair is a breed of cat developed as a short-haired version of the Persian. They share many traits with their long-haired counterparts but are easier to maintain.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Exotic%20Shorthair%20Cat%203.jpg,12 - 15 years,10 - 12 lbs,Short,Low,"{affectionate,loyal,quiet,gentle}"
breed-031,Havana Brown,United Kingdom,"Affectionate, Curious, Demanding, Gentle, Intelligent, Playful, Social",The Havana Brown is a domestic cat breed. It was the result of a planned breeding between Siamese and domestic black cats in England. They are affectionate and curious.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Havana%20Brown%20Cat%203.jpg,10 - 15 years,6 - 10 lbs,Short,Low,"{affectionate,curious,gentle,intelligent}"
breed-032,Himalayan,United States,"Dependent, Gentle, Intelligent, Quiet, Social, Calm","The Himalayan is a breed or sub-breed of long-haired cat identical in type to the Persian, with the exception of its blue eyes and its point coloration. They are gentle and calm.",https://cdn2.thecatapi.com/images/CDhOtM-Ig.jpg,9 - 15 years,7 - 14 lbs,Long,High,"{gentle,quiet,social,calm}"
breed-033,Japanese Bobtail,Japan,"Active, Agile, Friendly, Intelligent, Lively, Playful",The Japanese Bobtail is a breed of domestic cat with an unusual bobtail resembling the tail of a rabbit. They are known for their distinctive chirping tones and playful personality.,https://www.purina.com/sites/default/files/styles/social_share/public/2025-08/japanese_bobtail_cat_1.jpg?h=82f92a78&itok=1eQUYi_L,15 - 18 years,6 - 10 lbs,Short/Long,Low,"{active,agile,friendly,playful}"
